 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    oggbyboyyybgboorwgorrybgogywwwyrrgyybwbwgorgbwowrwobrr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rwyygwwwyrggwwbwbworroororygbyyyobrbbggyrorgogybobbwgo   
Co  5  	Before:    ygyrgorowgyoywrrwwgwrwowooogoggyryyyoywgrgrrbwbbbbbbbb   	After:    yyywoorowggogwgrowgbrybrobogbgwywybyoowggrrrbwybyrrbwb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rrbogbyogbywrrowywoywbwgowgrbyrogroobgoyywgggrrbwbbywy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rrbwrgorrbbggwogroyoyygwwywoyboyyrwrwbwgbrbooywgbobygg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rbwrrgwbooybowrooryorygryyrbwwgywboggbbrbyogygwgwogwby   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ryywgggygogorrwgygyobbwwwbwrobgoboyywrwoygbwyrrrobrobb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rwrywyywborworwowyrgggbyrybyowrogobogogrggbbgwbboybwry   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rbrbbooyggrybrgowrrwwoyywyogoybogboobwyrwrwwbyrbggggyw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yoggggyboorbwyybwwyyyrrgrwwrybrwobbwrwggoogbowbgobroyr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wbbgoywbyrybbgogbgrrwywgywgrwbrbrrwyoygwyrbgwoooorgooy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gorbrborbywogboryywyyywgowgbbwygbwggowbryorgbwrgrooywr   
Co  5  	Before:    gbrrrbbwwybrwwgbwwbywrggggggrywyyyyyryrgbrbbowoooooooo   	After:    gyrbwybrwybrrogbwwbrwwgygbggoygrryoyrorwbgboowbogyyowo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bybowywbybwrwgygboggobrgwrgwrywbrwobogrgooyooyrgyywrbr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    grbororroggwgbwwwobbrbwygybywyrgyobgrgwoyyowrbgyoobwry   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ggwwoyywwbgbbbrwygobrwygwbrbroogwbryyoobwoggogoryrrryy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ywbgbogwoobyrorrobgbwgwbwggroorryrwrbowbywbywgyorgyygy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rogbrrbbyorgwywowboyrrbgwwywbgowgryryyyrggwygwboooobgb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    robbgwrgryrwrywbrggoybrryyoogybwywgobogboybwwrwogbowyg   
Co  5  	Before:    wyrrgyyyworowwrbwwggggogoooyogoyoyyyrwgwrgrrwrbbbbbbbb   	After:    wbrgooybwoyowwrbowgbggbgoboywgoyoyryrygwggrrwrybwrrbyb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rbryggrbbbooorwyyywwbbwyogowrwooryrwgbywywggrgrgyboogb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rbwggobwrorgoywoobywbgrbryyowyywroyrbryboygogwgwbbrwgg   
Co  5  	Before:    owrygoroyywggwgwwwoywoorooygrggygbyywrgyrwrrrbbbbbbbbo   	After:    owrrwrrwyybgybwwbwoywgogooygogogrbwywbggrgrbrbyboyybro   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    brbobrwyrgrgboyygwybrowrrbyygowrobgrwgowyywbgowgwgobyo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrowwygryygoorgwobbbwobrrbybwryobryrggoogygwogwwbyrwgb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wwbbbobggryworbyygoyyryrwwrogbworywroywgwgbogorrbgoybg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bwgrrwrbwyrrowggbobrroggwbrwbywyobrooygybwbgoyogyoywgy   
 10  	Before:    ywggrrwbgrrygwbbwwryoogggyoygbyybyybrrgwbowwwrooroboob   	After:    ybwborrgygoorbgrwgbwrwyoyybborwgywrogywrwgwgybboyrogbo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bgorwwogggowogwbywogbbrbbrgyrrybowwgybyboyrwowgrryyyor   
Co  5  	Before:    rwwrwbwoorbgorogrrwrbgbgbbbobbwowooowggrgwggyryyyyyyyy   	After:    rwwrwbwoorbgrgwgrrwrborobbbobbgbgooowggwowggyryyyyyyyy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    oboybywgroyyywogrrbrgbrggwwwrywybbgogobwobywyrgwrgobor   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    bbbgywrybgbywrgyyoooryggwbyyrowoyggwwrwobrbbgorgowwror   
 10  	Before:    oyyoybrrrbywgrobrrgrgggowgyobwyoggoobbyrbywbyowbwwwgwr   	After:    bwwyygwyybgrbroooggrgbgryyorgrwowbybyorobrowgwgobwbyrw   
Cr  5  	Before:    oygoyrgyyworgrbbrrgywrgrbgbogygoywowgbrbbobbyowywwwrwo   	After:    oygwwwgyyworrbrbrrgbwgoybbbogybgowowggrgrbbyyowyryorwo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wbowbryrwbbggyyrbwrgygoroybgwoywwrorggorroyoybybwgogbw   
Co  5  	Before:    bwrrbobywwrryywyyybbybowoogbryowbowwoboyrorrrggggggggw   	After:    bwrrbobywwrryroyyybbyyywoogbrybowowwoboowbrrrggggggggw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rorwyorbbyroybryobwgbgroobgwywwgwobggggrogyybrbyrwwoyw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rorgrbybgboowyyyggywyrbbobobwwrwwborgooggrwgrgywroybyw   
Co  5  	Before:    gwbbrywbbrrrygygggyrwgywyyorrygbgybbrwgrwbwwwoooooooob   	After:    gwbrwywbbrrrgbggggyowrobyoorryygyybbryggrwwbwooowywoob   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rywwwoobywwrggrrgwgybgroryborybbbowgbrgrooyybwwgbygooy   
Co  5  	Before:    gbrowbbgbwrwwrwgrrrrwgbobbbgwwwogooyoboogrogyryyyyygyy   	After:    goryoybwbwbwwygggrrgwogrbbbgywwwwoyyobogbooryrrybrogry   
Co  5  	Before:    wgowoooggywwowbgwwobywbbbbbgybyyoyyyoobyggggrwrrrrrrrr   	After:    wyobbboygygwyygggworyoobbrbgrbwwbyryoobyrogwrwwroggrwr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    grggwybbowybwobbgyygrrgwoogwyyrryowbrrooborwryogbybwgw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gowyyryogbgoyryyggywrbgroorbwybowgywroobbgorbrwwgwbbrw   
Co  5  	Before:    rgybybyoyoyoyoggoobyrobbbbbgryorgrrrbrgygrggwowwwwwwww   	After:    rrybobyryogoywggoobyrobbbbbgwyoygrwrbrgygrggwoywwrwwow   
Co  5  	Before:    gogyobogbywogbwbbbwoobywyyryywoggyggobbywowwwrrrrrrrrg   	After:    gggygboybyoogowbgbwoobywyyryrworgyrgobbywowwwrwrrbrrbg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ywrogorobyyyrrygbwogbgwggwrwbbworgrwrbgyygoroyyobbobww   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ywbyboowrwrybogoogbyorwwwbowgrorwyybgbgbyrrryggrygowgb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wwgogrooywgryrybrogwrrwoggowgbyooygrowgbybwwrybybbrbyb   
Co  5  	Before:    ywwygworywyggygbyyorgrrgrrrrorywgwwwgogoowooyobbbbbbbb   	After:    ywwrrrooywwgoywbryobggbgrbrrbrrwgwbwgwgyggoyyoybooobyb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    robwwoggroybogwrgrwyogrwybowgwbbyywygowrobobybrgyyrgrb   
Co  5  	Before:    bwbwwbwwgrgwrbwbbboowbooooyrroggroggwogbrgrrryyyyyyyyg   	After:    bgbroowbgrywbggbybowwrwwobyrwobboowgwyggyrryrygyoroyrg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrowrywwgbryoybboorggobwgyowgobwrbgrborbgggyryyyrobwww   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    brbggrrbogogbwbbbowwrwowgwgygogyrrobwywyryoywrryoboygy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    owwggrwyrobboywbbrwgggroyborrbgwrwroyybyoygwrywgoboybg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wbyyywbwywgobrgrrgbbbogorrgrygyorywgrrobbooybwwygwgwoo   
Co  5  	Before:    orybyogygroorgbgggygbroyoobrybgbowbbyyybrgrrrwwwwwwwwo   	After:    owywywgwgrboboggygyrbrbboybrgbrrywobyoyggorgrwrwowbwyo   
Co  5  	Before:    ygooyrbryobrorgrrrgyyrgyggggybboyoobrgyobbwbbwwwwwwoww   	After:    ywowbwbwyooroobryrgbyowgggggrbrryobbrgybyywybwgwrgoorw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    robwwbwrwbwbyoorryoryyggoboowyyrywbybgrrbbgowggggyorwg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    grobbygbbryowwrgowwgbbrwbrryywoyybggowyoogwooygrbgwrry   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    boobbygowrgogwbgwggbbwryyywywooyrbybwoybowygrwrorgrrgr   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrryybwogryoboroowyybgbgowgwwboryrrbrggrgoobgwwbwwgyby   
Co  5  	Before:    orgbyoboyyygrbrbbbogygrbrrrrbboggggoyyryoywoowwwwwwgww   	After:    owgwbwbwyyggyyybbbooyrorryrrbbgwbgyoyrrorgwgowrwogbgow   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gobbwrrwbbgowgygyrwbyrrrwgwogogbwgogyyyoorrbrwobwyyybo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rwgbrrrywybbgwbygbowwogoyywoobyyrrgowwgbbrgyobwrgoryog   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    oywggowwggbrgwwgrbwwrroowryboybywrbogoogryyryryobbgbyb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    oywwybrrryybggyywbwroooryrwgbwwbwrooboggryggobbrowgybg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    obrbyyoybgbooryygrwrboggbwwwrgrogrrywwyobbggobyywworwg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    oggogrrogwwyroygybrywbygybworbwrooooybbgwwgrrwgrbbwyyb   
Co  5  	Before:    wowogrggryygwwowwwyggworoobryoyygoyyggowrrrrrbbbbbbbby   	After:    wbwrgggbryygyogwywyogwyrorbrwowrooyygbowwrrbrbobobgbgy   
Co  5  	Before:    yyyrgorgggwwgorbooowgyyoyyyogryrwrrrggwrwowwowbbbbbbbb   	After:    yyybbbrgggwwywobooowgyrwygyogrryorrrgywgorwwowbbogrbbb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    goorgrbyywrbgrbggbrwgywgowrwyrroywoywbogyogooywywbbrbb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ggrggrbrgywobwoobryygwoywgyyrrgyobbbworyrwwbgwobybworo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ywgwwogogybybgorybryrwrgwwywboyborrobrogorwrbwboyygggb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gygyrbgywygbbbgworowwwwryoyobrggwbbrwooryobyrbwgrogyro   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    grbooywgwbyowgrggygorbwobrbygrwbgwyywbroyrgwoywobryrbo   
Co  5  	Before:    ygyoowboowwgbwywwwwbgobybbrowogyobyybboggygggrrrrrrrry   	After:    yryrbrbrowyggwywwwwggbrybbrowooyybwybbogoogbgrgrwgoroy   
Co  5  	Before:    wbbbbyyoorbbrrrrrryrobywyygwwrooyyoobybowwwwwggggggggo   	After:    wgbwgyygoroboyyrwryboorwyygwrrrwrybobgbbowwgwgbgybrgoo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gwobgbggbrryorwwyoorgrwwbrwwgoboyrwryoygygbbrbowybyyog   
Co  5  	Before:    rgoggrwoyryggwobwwowgworooywogyyrbyyywggryrrwrbbbbbbbo   	After:    rgobbbwoyrygworbwworgywrowywoggrybyyyoggyorwwrbbrggbbo   
Co  5  	Before:    rwobborrbbyoyybyyywbbyowoowyrbowwgwrwrybrogrrggggggwgo   	After:    rwobworrbbwoybbyrywbbyowoowygbogwggrwrybrogrrgyggygwyo   
Co  5  	Before:    obogwwbrwrbgoowooorogrgggggwwwwrorrybrwgbbrbbyyyyyybyy   	After:    oyobgrbywrrgwoooworgggybgwgwoworwrbybywrwgrybybygbobry   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    owgrgyoogywoorbyrbybrwwyrwywgggobrybwybrybwgrggwobroob   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    wbrwooowrwogbgwybgybygwgygrbrgobywobrrggywwrobyoyrroyb   
Co  5  	Before:    gbooogboowgbwgogggyygbwywwwwyoobwbbyywogybryyrrrrrrbrr   	After:    grorgrbrowbbgrbgygyygwwowwwwgoboybgyywooywryyrbrgbobor   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    rwrrgrggboororbwobybwywooybgggwobrgyyywwybowboyyrbggrw   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yborgbwborwwwwgbwybogroobwgwygyygrryobgorgrywroogbrbyy   
Co  5  	Before:    wwgggggrgywyooywoorrwrygyyyoggyryrrrrooowwwwbobbbbbbbb   	After:    wrgbbbgggywyyyywrorwwoowyoyobgowyrbrryorrgwrbowbgggbob   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    roggbrwyworooorogrgbowwoyyryybwrbgobwrbwygybbywgyggrbw   
Co  5  	Before:    owoybrrbbworwywyyyyywroyooobobbwbwwgyobrrbwrrggggggrgg   	After:    ooogggrybwgrwowygyyrwryyooobbbbrbwwgyobrwbwyrgwgrbyrog   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    borbwrwowowoygwbbggbgrrwwyyygygbyrggoobborygwrwryyoorb   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    ybrrwoywybobrbgbwgrbwyoryoggyrggboywgworryowwrgobygbow   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yorbbwgwgogrwrowyywbybyyoggbgoboorywbrwywoowrbrgrgrbgy   
Co  5  	Before:    ooorbbrrbwyrbyoryyywbyoroooywwbwbwwwbwboryrrgygggggggg   	After:    ogorybrgbwwrygrrwyywbboboooyywobywywbwbbrorrgyoggwggrg   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    obryyrwgbgorwobywyygwybggbbgrbyrbrwbyrowgrwogogrywooow   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gwgbbgwrrggbborrgrwyrbwoyrbwgowrowwyyooyyybyybogrgwobo   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    yrrwrbgogwwybygyoorrbobwgrowwobwowgwbgrbgyogbryyroybyg   
Co  5  	Before:    ryrwrbrrbggwrgyoggrygrygyybygywbrobobbwbwwbwgwooooowoy   	After:    rgrwgbrgbgowbowoogrwgryyybbyryrrgoyobowwwrbogwboybywgy   
 100 	Before:    wwwwwwwwwgggggggggrrrrrrrrrbbbbbbbbboooooooooyyyyyyyyy   	After:    gbgoygobygrbrbyoywrwrgrwbogwoyogbogoryywoyywwbbrrwgbrw   
